Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,5.200000,5.250000,5.160000,5.250000,5.099969,1231800
2019-12-10,5.140000,5.280000,5.130000,5.260000,5.109683,419400
2019-12-11,5.230000,5.340000,5.230000,5.310000,5.158254,455200
2019-12-12,5.470000,5.700000,5.470000,5.690000,5.527395,617200
2019-12-13,5.700000,5.700000,5.580000,5.590000,5.430253,453700
2019-12-16,5.590000,5.630000,5.570000,5.580000,5.420538,407000
2019-12-17,5.590000,5.640000,5.590000,5.620000,5.459395,334500
2019-12-18,5.660000,5.680000,5.620000,5.630000,5.469110,386800
2019-12-19,5.640000,5.640000,5.540000,5.560000,5.401110,415000
2019-12-20,5.600000,5.660000,5.600000,5.600000,5.439967,396600
2019-12-23,5.640000,5.650000,5.600000,5.620000,5.459395,395100
2019-12-24,5.590000,5.610000,5.570000,5.610000,5.449681,84000
2019-12-26,5.540000,5.560000,5.510000,5.550000,5.391396,246600
2019-12-27,5.610000,5.620000,5.570000,5.590000,5.430253,223700
2019-12-30,5.590000,5.590000,5.530000,5.550000,5.391396,214900
2019-12-31,5.550000,5.570000,5.530000,5.560000,5.401110,182200
2020-01-02,5.570000,5.580000,5.520000,5.550000,5.391396,484800
2020-01-03,5.470000,5.470000,5.370000,5.400000,5.245682,762300
2020-01-06,5.220000,5.250000,5.190000,5.240000,5.090254,590100
2020-01-07,5.230000,5.240000,5.200000,5.220000,5.070826,436200
2020-01-08,5.200000,5.220000,5.160000,5.170000,5.022255,482800
2020-01-09,5.300000,5.340000,5.280000,5.320000,5.167968,591400
2020-01-10,5.330000,5.330000,5.260000,5.290000,5.138825,317300
2020-01-13,5.340000,5.370000,5.300000,5.360000,5.206825,389700
2020-01-14,5.400000,5.420000,5.360000,5.380000,5.226254,402100
2020-01-15,5.390000,5.400000,5.300000,5.330000,5.177682,325000
2020-01-16,5.250000,5.310000,5.220000,5.270000,5.119397,598200
2020-01-17,5.280000,5.300000,5.210000,5.240000,5.090254,999300
2020-01-21,5.140000,5.210000,5.130000,5.160000,5.012540,281900
2020-01-22,5.230000,5.250000,5.170000,5.190000,5.041683,501400
2020-01-23,5.140000,5.200000,5.140000,5.180000,5.031969,307200
2020-01-24,5.250000,5.250000,5.170000,5.190000,5.041683,502500
2020-01-27,5.000000,5.040000,4.880000,4.880000,4.740542,544100
2020-01-28,4.930000,4.960000,4.890000,4.910000,4.769685,342800
2020-01-29,4.930000,5.020000,4.910000,5.020000,4.876542,517600
2020-01-30,4.860000,4.870000,4.790000,4.830000,4.691971,345200
2020-01-31,4.830000,4.830000,4.710000,4.740000,4.604543,474500
2020-02-03,4.760000,4.810000,4.670000,4.720000,4.585114,1340500
2020-02-04,4.880000,4.940000,4.830000,4.900000,4.759971,527500
2020-02-05,4.980000,5.000000,4.930000,5.000000,4.857113,554200
2020-02-06,5.070000,5.120000,5.020000,5.070000,4.925113,515800
2020-02-07,5.000000,5.000000,4.820000,4.930000,4.789114,657200
2020-02-10,5.030000,5.030000,4.970000,5.030000,4.886256,654900
2020-02-11,5.080000,5.110000,5.060000,5.080000,4.934827,1569300
2020-02-12,5.120000,5.150000,5.110000,5.140000,4.993112,543200
2020-02-13,5.160000,5.190000,5.150000,5.170000,5.022255,3352100
2020-02-14,5.170000,5.170000,5.110000,5.110000,4.963970,550400
2020-02-18,5.050000,5.050000,4.880000,4.960000,4.818256,910500
2020-02-19,5.030000,5.090000,5.010000,5.060000,4.915399,971000
2020-02-20,5.000000,5.050000,4.850000,4.910000,4.769685,601600
2020-02-21,4.940000,4.940000,4.820000,4.820000,4.682257,350800
2020-02-24,4.730000,4.790000,4.660000,4.690000,4.555972,836400
2020-02-25,4.740000,4.770000,4.600000,4.670000,4.536544,899700
2020-02-26,4.720000,4.790000,4.640000,4.710000,4.575400,847300
2020-02-27,4.650000,4.670000,4.550000,4.560000,4.429687,681200
2020-02-28,4.380000,4.600000,4.280000,4.600000,4.468544,1117200
2020-03-02,4.630000,4.700000,4.550000,4.700000,4.565686,721400
2020-03-03,4.770000,4.830000,4.670000,4.710000,4.575400,469500
2020-03-04,4.750000,4.840000,4.700000,4.840000,4.701685,785000
2020-03-05,4.760000,4.830000,4.740000,4.770000,4.633686,367200
2020-03-06,4.690000,4.690000,4.580000,4.640000,4.507401,540900
2020-03-09,4.460000,4.510000,4.360000,4.390000,4.264545,575400
2020-03-10,4.500000,4.660000,4.390000,4.620000,4.487972,1729800
2020-03-11,4.470000,4.470000,4.360000,4.370000,4.245117,1174100
2020-03-12,4.070000,4.080000,3.840000,3.890000,3.778834,1013300
2020-03-13,4.170000,4.180000,3.950000,4.120000,4.002261,944200
2020-03-16,3.800000,3.910000,3.570000,3.610000,3.506835,1147700
2020-03-17,3.680000,3.810000,3.600000,3.790000,3.681692,1523600
2020-03-18,3.500000,3.580000,3.300000,3.370000,3.273694,1318600
2020-03-19,3.280000,3.380000,3.200000,3.320000,3.225123,874600
2020-03-20,3.480000,3.580000,3.370000,3.400000,3.302837,880700
2020-03-23,3.350000,3.370000,3.170000,3.210000,3.118267,1096000
2020-03-24,3.470000,3.670000,3.390000,3.660000,3.555407,1412500
2020-03-25,3.800000,3.940000,3.750000,3.850000,3.739977,1276500
2020-03-26,3.960000,3.970000,3.870000,3.970000,3.856548,1405100
2020-03-27,3.840000,3.840000,3.540000,3.580000,3.477693,1790800
2020-03-30,3.730000,3.880000,3.710000,3.880000,3.769120,904700
2020-03-31,3.910000,3.910000,3.700000,3.740000,3.633121,938900
2020-04-01,3.680000,3.720000,3.530000,3.530000,3.429122,681700
2020-04-02,3.530000,3.670000,3.500000,3.580000,3.477693,1087900
2020-04-03,3.630000,3.630000,3.500000,3.580000,3.477693,463700
2020-04-06,3.750000,3.900000,3.750000,3.840000,3.730263,949000
2020-04-07,3.970000,4.050000,3.910000,4.030000,3.914833,1809100
2020-04-08,4.100000,4.210000,4.020000,4.110000,3.992547,891900
2020-04-09,4.110000,4.150000,3.950000,3.970000,3.856548,720700
2020-04-13,3.970000,4.080000,3.950000,4.070000,3.953690,721200
2020-04-14,4.210000,4.360000,4.210000,4.350000,4.225688,941100
2020-04-15,4.280000,4.280000,4.160000,4.220000,4.099403,859200
2020-04-16,4.360000,4.360000,4.240000,4.280000,4.157689,432800
2020-04-17,4.360000,4.390000,4.260000,4.340000,4.215974,599700
2020-04-20,4.280000,4.300000,4.180000,4.240000,4.118832,771600
2020-04-21,4.160000,4.160000,3.920000,3.970000,3.856548,1065900
2020-04-22,4.100000,4.180000,4.080000,4.160000,4.041118,945200
2020-04-23,4.140000,4.210000,4.140000,4.180000,4.060546,571900
2020-04-24,4.190000,4.210000,4.100000,4.190000,4.070261,444300
2020-04-27,4.240000,4.360000,4.240000,4.350000,4.225688,502200
2020-04-28,4.230000,4.320000,4.200000,4.230000,4.109118,497900
2020-04-29,4.440000,4.490000,4.330000,4.450000,4.322831,641900
2020-04-30,4.460000,4.460000,4.300000,4.350000,4.225688,497200
2020-05-01,4.340000,4.340000,4.210000,4.250000,4.128546,881800
2020-05-04,4.310000,4.310000,4.220000,4.290000,4.167403,650600
2020-05-05,4.350000,4.360000,4.290000,4.320000,4.196546,566700
2020-05-06,4.360000,4.360000,4.270000,4.290000,4.167403,674100
2020-05-07,4.350000,4.440000,4.340000,4.430000,4.303402,689500
2020-05-08,4.460000,4.610000,4.460000,4.610000,4.478259,954200
2020-05-11,4.610000,4.610000,4.490000,4.580000,4.449115,998900
2020-05-12,4.600000,4.600000,4.420000,4.420000,4.293688,859300
2020-05-13,4.490000,4.500000,4.290000,4.390000,4.264545,992200
2020-05-14,4.350000,4.450000,4.280000,4.440000,4.313117,1000900
2020-05-15,4.430000,4.430000,4.280000,4.350000,4.225688,590600
2020-05-18,4.260000,4.310000,4.200000,4.270000,4.147974,1253700
2020-05-19,4.180000,4.200000,4.020000,4.060000,3.943976,1467500
2020-05-20,4.100000,4.120000,4.040000,4.070000,3.953690,1871500
2020-05-21,4.130000,4.190000,4.080000,4.150000,4.031404,1714900
2020-05-22,4.100000,4.100000,4.010000,4.060000,3.943976,1112900
2020-05-26,4.120000,4.140000,4.010000,4.020000,3.905119,1452900
2020-05-27,4.060000,4.070000,3.900000,4.060000,3.943976,1468400
2020-05-28,4.090000,4.100000,4.010000,4.030000,3.914833,1531100
2020-05-29,4.030000,4.100000,3.970000,4.080000,3.963404,2059200
2020-06-01,4.160000,4.200000,4.090000,4.150000,4.031404,1293400
2020-06-02,4.240000,4.250000,4.200000,4.240000,4.118832,1329200
2020-06-03,4.340000,4.450000,4.310000,4.410000,4.283974,1565100
2020-06-04,4.450000,4.450000,4.330000,4.350000,4.225688,1553900
2020-06-05,4.490000,4.540000,4.470000,4.490000,4.361687,3501400
2020-06-08,4.500000,4.510000,4.400000,4.450000,4.322831,3595700
2020-06-09,4.340000,4.380000,4.280000,4.360000,4.235403,1363600
2020-06-10,4.490000,4.620000,4.440000,4.540000,4.410259,1574800
2020-06-11,4.350000,4.430000,4.270000,4.310000,4.186831,1176400
2020-06-12,4.430000,4.460000,4.350000,4.440000,4.313117,919000
2020-06-15,4.330000,4.470000,4.300000,4.450000,4.322831,733500
2020-06-16,4.460000,4.540000,4.420000,4.480000,4.351974,652100
2020-06-17,4.530000,4.570000,4.500000,4.540000,4.410259,527000
2020-06-18,4.480000,4.540000,4.420000,4.460000,4.332545,544200
2020-06-19,4.520000,4.550000,4.370000,4.450000,4.322831,1008200
2020-06-22,4.410000,4.560000,4.400000,4.560000,4.429687,1411200
2020-06-23,4.450000,4.540000,4.450000,4.500000,4.371402,1555900
2020-06-24,4.480000,4.550000,4.380000,4.400000,4.274260,567100
2020-06-25,4.410000,4.480000,4.390000,4.480000,4.351974,633600
2020-06-26,4.420000,4.430000,4.360000,4.420000,4.293688,736100
2020-06-29,4.460000,4.520000,4.410000,4.520000,4.390830,917100
2020-06-30,4.500000,4.550000,4.420000,4.540000,4.410259,1035000
2020-07-01,4.570000,4.570000,4.480000,4.540000,4.410259,1347900
2020-07-02,4.760000,4.940000,4.750000,4.880000,4.740542,1935400
2020-07-06,4.900000,4.900000,4.800000,4.830000,4.691971,1089400
2020-07-07,4.730000,4.750000,4.650000,4.650000,4.517115,793400
2020-07-08,4.670000,4.700000,4.620000,4.670000,4.536544,507700
2020-07-09,4.720000,4.810000,4.720000,4.740000,4.604543,940500
2020-07-10,4.790000,4.840000,4.770000,4.810000,4.672543,681000
2020-07-13,4.870000,4.890000,4.740000,4.760000,4.623972,888500
2020-07-14,4.700000,4.770000,4.680000,4.760000,4.623972,708600
2020-07-15,4.750000,4.790000,4.660000,4.720000,4.585114,542500
2020-07-16,4.660000,4.680000,4.630000,4.680000,4.546257,2701000
2020-07-17,4.680000,4.680000,4.580000,4.620000,4.487972,796900
2020-07-20,4.660000,4.740000,4.620000,4.710000,4.575400,1181800
2020-07-21,4.780000,4.820000,4.730000,4.790000,4.653114,1158000
2020-07-22,4.790000,4.860000,4.780000,4.810000,4.672543,450500
2020-07-23,4.820000,4.840000,4.660000,4.720000,4.585114,622600
2020-07-24,4.640000,4.770000,4.640000,4.690000,4.555972,1821100
2020-07-27,4.870000,4.990000,4.870000,4.970000,4.827970,1022400
2020-07-28,4.830000,4.830000,4.700000,4.720000,4.585114,949800
2020-07-29,4.850000,4.970000,4.840000,4.970000,4.827970,1000800
2020-07-30,5.000000,5.140000,4.990000,5.120000,4.973684,2261700
2020-07-31,5.210000,5.220000,4.880000,5.010000,4.866827,1368500
2020-08-03,4.810000,4.870000,4.770000,4.810000,4.672543,1166600
2020-08-04,4.770000,4.800000,4.710000,4.760000,4.623972,971600
2020-08-05,4.750000,4.820000,4.740000,4.760000,4.623972,779200
2020-08-06,4.760000,4.790000,4.730000,4.790000,4.653114,376800
2020-08-07,4.760000,4.790000,4.710000,4.730000,4.594829,477000
2020-08-10,4.720000,4.770000,4.710000,4.730000,4.594829,510300
2020-08-11,4.730000,4.750000,4.670000,4.690000,4.555972,493700
2020-08-12,4.680000,4.790000,4.680000,4.770000,4.633686,2018300
2020-08-13,4.620000,4.630000,4.530000,4.580000,4.580000,452000
2020-08-14,4.530000,4.540000,4.500000,4.530000,4.530000,390300
2020-08-17,4.590000,4.630000,4.570000,4.590000,4.590000,517200
2020-08-18,4.590000,4.590000,4.530000,4.550000,4.550000,617800
2020-08-19,4.450000,4.450000,4.320000,4.320000,4.320000,1126300
2020-08-20,4.200000,4.200000,4.100000,4.100000,4.100000,741900
2020-08-21,4.120000,4.150000,4.050000,4.140000,4.140000,852500
2020-08-24,4.150000,4.170000,4.100000,4.140000,4.140000,662200
2020-08-25,4.160000,4.210000,4.130000,4.180000,4.180000,488000
2020-08-26,4.190000,4.250000,4.180000,4.230000,4.230000,437900
2020-08-27,4.200000,4.210000,4.090000,4.110000,4.110000,646800
2020-08-28,4.130000,4.190000,4.100000,4.170000,4.170000,512500
2020-08-31,4.130000,4.140000,4.070000,4.110000,4.110000,540300
2020-09-01,4.100000,4.180000,4.060000,4.170000,4.170000,980400
2020-09-02,4.120000,4.140000,4.060000,4.130000,4.130000,656600
2020-09-03,4.070000,4.130000,3.950000,3.950000,3.950000,910100
2020-09-04,3.980000,4.000000,3.880000,3.970000,3.970000,1409300
2020-09-08,4.060000,4.150000,4.040000,4.060000,4.060000,906900
2020-09-09,4.120000,4.200000,4.110000,4.200000,4.200000,633000
2020-09-10,4.190000,4.210000,4.060000,4.110000,4.110000,1386200
2020-09-11,4.140000,4.160000,4.110000,4.150000,4.150000,556300
2020-09-14,4.160000,4.190000,4.130000,4.130000,4.130000,535300
2020-09-15,4.190000,4.280000,4.180000,4.260000,4.260000,364000
2020-09-16,4.280000,4.280000,4.240000,4.240000,4.240000,642000
2020-09-17,4.170000,4.300000,4.170000,4.250000,4.250000,757000
2020-09-18,4.290000,4.300000,4.160000,4.220000,4.220000,602500
2020-09-21,4.180000,4.210000,4.130000,4.210000,4.210000,474700
2020-09-22,4.160000,4.180000,4.090000,4.150000,4.150000,263500
2020-09-23,4.110000,4.110000,4.010000,4.020000,4.020000,386100
2020-09-24,3.950000,4.050000,3.930000,4.010000,4.010000,1091500
2020-09-25,4.040000,4.040000,3.990000,4.040000,4.040000,374600
2020-09-28,4.100000,4.160000,4.100000,4.160000,4.160000,418800
2020-09-29,4.040000,4.050000,4.020000,4.020000,4.020000,581600
2020-09-30,4.070000,4.130000,4.050000,4.080000,4.080000,442600
2020-10-01,4.150000,4.170000,4.120000,4.150000,4.150000,541600
2020-10-02,4.120000,4.120000,4.020000,4.030000,4.030000,440300
2020-10-05,4.120000,4.160000,4.120000,4.140000,4.140000,771600
2020-10-06,4.160000,4.180000,4.090000,4.090000,4.090000,437900
2020-10-07,4.180000,4.200000,4.150000,4.190000,4.190000,261200
2020-10-08,4.270000,4.360000,4.260000,4.330000,4.330000,541500
2020-10-09,4.360000,4.360000,4.310000,4.330000,4.330000,381800
2020-10-12,4.320000,4.340000,4.300000,4.330000,4.330000,272400
2020-10-13,4.300000,4.300000,4.260000,4.280000,4.280000,238700
2020-10-14,4.240000,4.240000,4.200000,4.210000,4.210000,392000
2020-10-15,4.220000,4.250000,4.200000,4.240000,4.240000,282500
2020-10-16,4.270000,4.270000,4.230000,4.240000,4.240000,346900
2020-10-19,4.280000,4.310000,4.210000,4.220000,4.220000,726900
2020-10-20,4.270000,4.290000,4.250000,4.280000,4.280000,348500
