Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,0.009900,0.009900,0.009900,0.009900,0.009900,0
2020-01-03,0.009900,0.009900,0.009900,0.009900,0.009900,0
2020-01-06,0.009900,0.009900,0.009900,0.009900,0.009900,0
2020-01-07,0.009900,0.009900,0.009900,0.009900,0.009900,0
2020-01-08,0.009900,0.009900,0.009900,0.009900,0.009900,0
2020-01-09,0.006500,0.006500,0.006500,0.006500,0.006500,310
2020-01-10,0.006300,0.006300,0.006300,0.006300,0.006300,1900
2020-01-13,0.006300,0.006300,0.006300,0.006300,0.006300,0
2020-01-14,0.006300,0.006300,0.006300,0.006300,0.006300,0
2020-01-15,0.006300,0.006300,0.006300,0.006300,0.006300,0
2020-01-16,0.006900,0.006900,0.006900,0.006900,0.006900,10000
2020-01-17,0.006900,0.006900,0.006900,0.006900,0.006900,0
2020-01-21,0.005100,0.009800,0.005100,0.007400,0.007400,40123
2020-01-22,0.007420,0.007420,0.007400,0.007400,0.007400,59168
2020-01-23,0.007400,0.007400,0.007400,0.007400,0.007400,0
2020-01-24,0.007100,0.007100,0.007100,0.007100,0.007100,10000
2020-01-27,0.006600,0.006600,0.006500,0.006500,0.006500,30000
2020-01-28,0.006500,0.006500,0.006500,0.006500,0.006500,0
2020-01-29,0.006500,0.006500,0.006500,0.006500,0.006500,0
2020-01-30,0.006500,0.006500,0.006500,0.006500,0.006500,0
2020-01-31,0.006500,0.006500,0.006500,0.006500,0.006500,0
2020-02-03,0.008300,0.009800,0.008300,0.009800,0.009800,66000
2020-02-04,0.009800,0.014500,0.009800,0.011500,0.011500,288954
2020-02-05,0.013900,0.022000,0.013900,0.017000,0.017000,171670
2020-02-06,0.019600,0.020000,0.019600,0.020000,0.020000,27000
2020-02-07,0.019950,0.024400,0.019950,0.024400,0.024400,67500
2020-02-10,0.021230,0.021230,0.018300,0.018300,0.018300,13225
2020-02-11,0.018300,0.018300,0.018300,0.018300,0.018300,0
2020-02-12,0.016000,0.017800,0.016000,0.016000,0.016000,8200
2020-02-13,0.016000,0.016880,0.016000,0.016880,0.016880,12000
2020-02-14,0.018000,0.018000,0.018000,0.018000,0.018000,100
2020-02-18,0.013000,0.013000,0.013000,0.013000,0.013000,100
2020-02-19,0.013000,0.013000,0.013000,0.013000,0.013000,0
2020-02-20,0.015000,0.015000,0.015000,0.015000,0.015000,2000
2020-02-21,0.015000,0.015000,0.015000,0.015000,0.015000,20000
2020-02-24,0.015000,0.015000,0.015000,0.015000,0.015000,450
2020-02-25,0.015000,0.015000,0.015000,0.015000,0.015000,5200
2020-02-26,0.015000,0.015000,0.013000,0.013800,0.013800,59708
2020-02-27,0.013000,0.013000,0.013000,0.013000,0.013000,2900
2020-02-28,0.013000,0.013000,0.013000,0.013000,0.013000,2000
2020-03-02,0.013000,0.013000,0.013000,0.013000,0.013000,5000
2020-03-03,0.013000,0.013000,0.013000,0.013000,0.013000,0
2020-03-04,0.016960,0.017000,0.016960,0.017000,0.017000,17749
2020-03-05,0.017000,0.017000,0.017000,0.017000,0.017000,0
2020-03-06,0.017000,0.025000,0.017000,0.018000,0.018000,132755
2020-03-09,0.013150,0.013150,0.013000,0.013000,0.013000,80050
2020-03-10,0.013100,0.014130,0.013000,0.013100,0.013100,30500
2020-03-11,0.013100,0.013100,0.013100,0.013100,0.013100,0
2020-03-12,0.014500,0.015250,0.014500,0.015250,0.015250,18550
2020-03-13,0.015600,0.015600,0.013000,0.013000,0.013000,35375
2020-03-16,0.013000,0.013000,0.013000,0.013000,0.013000,0
2020-03-17,0.011500,0.012000,0.008100,0.010000,0.010000,97800
2020-03-18,0.008300,0.008300,0.008300,0.008300,0.008300,8225
2020-03-19,0.008500,0.009990,0.008100,0.008100,0.008100,75731
2020-03-20,0.008100,0.008100,0.008100,0.008100,0.008100,400
2020-03-23,0.008100,0.008100,0.008100,0.008100,0.008100,6000
2020-03-24,0.008100,0.008100,0.008100,0.008100,0.008100,0
2020-03-25,0.009990,0.009990,0.008100,0.008100,0.008100,250
2020-03-26,0.008100,0.008100,0.008100,0.008100,0.008100,0
2020-03-27,0.008100,0.008100,0.008100,0.008100,0.008100,0
2020-03-30,0.008100,0.009050,0.008100,0.009050,0.009050,200
2020-03-31,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-01,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-02,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-03,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-06,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-07,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-08,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-09,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-13,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-14,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-15,0.009050,0.009050,0.009050,0.009050,0.009050,0
2020-04-16,0.010000,0.012250,0.010000,0.012250,0.012250,24800
2020-04-17,0.008300,0.012500,0.008300,0.008350,0.008350,4000
2020-04-20,0.012500,0.012500,0.012500,0.012500,0.012500,300
2020-04-21,0.008300,0.008300,0.008300,0.008300,0.008300,100
2020-04-22,0.008300,0.008300,0.008300,0.008300,0.008300,0
2020-04-23,0.008300,0.008300,0.008300,0.008300,0.008300,1400
2020-04-24,0.008300,0.008300,0.008300,0.008300,0.008300,0
2020-04-27,0.008300,0.008300,0.008300,0.008300,0.008300,0
2020-04-28,0.008300,0.008300,0.008300,0.008300,0.008300,0
2020-04-29,0.008400,0.008400,0.008400,0.008400,0.008400,4540
2020-04-30,0.008400,0.008400,0.008400,0.008400,0.008400,0
2020-05-01,0.008400,0.008400,0.008400,0.008400,0.008400,1100
2020-05-04,0.008400,0.008400,0.008400,0.008400,0.008400,0
2020-05-05,0.008400,0.008400,0.008400,0.008400,0.008400,20000
2020-05-06,0.008400,0.008400,0.008400,0.008400,0.008400,1400
2020-05-07,0.008400,0.008400,0.008400,0.008400,0.008400,0
2020-05-08,0.008400,0.008400,0.008400,0.008400,0.008400,0
2020-05-11,0.008400,0.008400,0.008400,0.008400,0.008400,590
2020-05-12,0.008400,0.008400,0.008400,0.008400,0.008400,0
2020-05-13,0.011000,0.011000,0.011000,0.011000,0.011000,5860
2020-05-14,0.009600,0.009600,0.009100,0.009100,0.009100,19240
2020-05-15,0.009100,0.009100,0.009100,0.009100,0.009100,0
2020-05-18,0.009100,0.009100,0.009100,0.009100,0.009100,10011
2020-05-19,0.009100,0.009100,0.009100,0.009100,0.009100,0
2020-05-20,0.012400,0.014000,0.012400,0.014000,0.014000,33380
2020-05-21,0.014000,0.014000,0.014000,0.014000,0.014000,0
2020-05-22,0.015000,0.017860,0.012100,0.017700,0.017700,59800
2020-05-26,0.017900,0.017900,0.017900,0.017900,0.017900,1944
2020-05-27,0.017900,0.017900,0.017900,0.017900,0.017900,0
2020-05-28,0.017900,0.017900,0.017900,0.017900,0.017900,0
2020-05-29,0.017900,0.017900,0.017900,0.017900,0.017900,0
2020-06-01,0.017900,0.017900,0.017900,0.017900,0.017900,0
2020-06-02,0.017900,0.017900,0.017900,0.017900,0.017900,0
2020-06-03,0.017900,0.017900,0.017900,0.017900,0.017900,0
2020-06-04,0.010100,0.010100,0.009900,0.009900,0.009900,2000
2020-06-05,0.010600,0.016380,0.010600,0.016380,0.016380,2501
2020-06-08,0.016380,0.016380,0.016380,0.016380,0.016380,0
2020-06-09,0.011600,0.011600,0.011600,0.011600,0.011600,5000
2020-06-10,0.011100,0.011100,0.011100,0.011100,0.011100,14500
2020-06-11,0.017700,0.017700,0.011100,0.011100,0.011100,5500
2020-06-12,0.016580,0.016580,0.016580,0.016580,0.016580,200
2020-06-15,0.012100,0.012100,0.012100,0.012100,0.012100,16500
2020-06-16,0.012100,0.012100,0.012100,0.012100,0.012100,0
2020-06-17,0.012100,0.012100,0.012100,0.012100,0.012100,0
2020-06-18,0.012100,0.012100,0.012100,0.012100,0.012100,0
2020-06-19,0.012100,0.012100,0.012100,0.012100,0.012100,0
2020-06-22,0.011900,0.014000,0.011900,0.014000,0.014000,67500
2020-06-23,0.011600,0.011600,0.011600,0.011600,0.011600,3000
2020-06-24,0.011100,0.011600,0.011100,0.011600,0.011600,13000
2020-06-25,0.011980,0.011980,0.011980,0.011980,0.011980,200
2020-06-26,0.011980,0.011980,0.011980,0.011980,0.011980,0
2020-06-29,0.011980,0.011980,0.011980,0.011980,0.011980,0
2020-06-30,0.011100,0.011100,0.011100,0.011100,0.011100,2000
2020-07-01,0.014620,0.014620,0.014620,0.014620,0.014620,4000
2020-07-02,0.014620,0.014620,0.014620,0.014620,0.014620,0
2020-07-06,0.013900,0.013900,0.013900,0.013900,0.013900,5000
2020-07-07,0.013900,0.013900,0.013900,0.013900,0.013900,0
2020-07-08,0.009700,0.009700,0.009700,0.009700,0.009700,200
2020-07-09,0.014000,0.015500,0.014000,0.015500,0.015500,27231
2020-07-10,0.017260,0.017260,0.017260,0.017260,0.017260,7500
2020-07-13,0.015500,0.015500,0.015500,0.015500,0.015500,10000
2020-07-14,0.015500,0.015500,0.015500,0.015500,0.015500,0
2020-07-15,0.017160,0.017160,0.017160,0.017160,0.017160,2548
2020-07-16,0.017160,0.017160,0.017160,0.017160,0.017160,0
2020-07-17,0.015000,0.015000,0.015000,0.015000,0.015000,15384
2020-07-20,0.015000,0.015000,0.015000,0.015000,0.015000,0
2020-07-21,0.015000,0.015000,0.015000,0.015000,0.015000,10000
2020-07-22,0.015000,0.015000,0.015000,0.015000,0.015000,0
2020-07-23,0.015000,0.015000,0.015000,0.015000,0.015000,0
2020-07-24,0.015000,0.015000,0.015000,0.015000,0.015000,0
2020-07-27,0.014000,0.014000,0.014000,0.014000,0.014000,1000
2020-07-28,0.014000,0.017700,0.013000,0.017700,0.017700,24500
2020-07-29,0.012000,0.012000,0.012000,0.012000,0.012000,3700
2020-07-30,0.012000,0.012000,0.012000,0.012000,0.012000,0
2020-07-31,0.012000,0.012000,0.012000,0.012000,0.012000,0
2020-08-03,0.011500,0.011500,0.011500,0.011500,0.011500,16161
2020-08-04,0.009700,0.009700,0.009700,0.009700,0.009700,400
2020-08-05,0.010800,0.010800,0.010000,0.010000,0.010000,172500
2020-08-06,0.010000,0.010000,0.010000,0.010000,0.010000,0
2020-08-07,0.011800,0.011800,0.009900,0.010000,0.010000,239500
2020-08-10,0.011000,0.011000,0.009700,0.009700,0.009700,120000
2020-08-11,0.010000,0.010000,0.010000,0.010000,0.010000,25000
2020-08-12,0.010000,0.010000,0.010000,0.010000,0.010000,0
2020-08-13,0.010000,0.010000,0.010000,0.010000,0.010000,0
2020-08-14,0.012000,0.012500,0.012000,0.012500,0.012500,29390
2020-08-17,0.010600,0.010600,0.010600,0.010600,0.010600,100
2020-08-18,0.010600,0.010600,0.010600,0.010600,0.010600,0
2020-08-19,0.010600,0.010600,0.010600,0.010600,0.010600,0
2020-08-20,0.010600,0.010600,0.010600,0.010600,0.010600,0
2020-08-21,0.010600,0.010600,0.010600,0.010600,0.010600,0
2020-08-24,0.016000,0.016000,0.015900,0.015900,0.015900,4110
2020-08-25,0.015900,0.016000,0.015700,0.015700,0.015700,30000
2020-08-26,0.015700,0.015700,0.015700,0.015700,0.015700,0
2020-08-27,0.015700,0.015700,0.015700,0.015700,0.015700,0
2020-08-28,0.011700,0.011700,0.011700,0.011700,0.011700,59000
2020-08-31,0.011700,0.011700,0.011700,0.011700,0.011700,0
2020-09-01,0.011800,0.011800,0.011800,0.011800,0.011800,10000
2020-09-02,0.011800,0.011800,0.011800,0.011800,0.011800,0
2020-09-03,0.011800,0.011800,0.011800,0.011800,0.011800,0
2020-09-04,0.011000,0.011000,0.010500,0.010500,0.010500,35000
2020-09-08,0.009500,0.009500,0.009500,0.009500,0.009500,1000
2020-09-09,0.009500,0.009500,0.009500,0.009500,0.009500,0
2020-09-10,0.009500,0.009500,0.009500,0.009500,0.009500,0
2020-09-11,0.009750,0.009750,0.009750,0.009750,0.009750,200
2020-09-14,0.009800,0.009800,0.009800,0.009800,0.009800,500
2020-09-15,0.009800,0.009800,0.009800,0.009800,0.009800,0
2020-09-16,0.009800,0.009800,0.009800,0.009800,0.009800,0
2020-09-17,0.009800,0.009800,0.009100,0.009100,0.009100,135000
2020-09-18,null,null,null,null,null,null
2020-09-21,0.008800,0.008800,0.008800,0.008800,0.008800,0
2020-09-22,0.008800,0.008800,0.008800,0.008800,0.008800,0
2020-09-23,0.012700,0.012700,0.012600,0.012700,0.012700,3750
2020-09-24,0.012700,0.012700,0.012700,0.012700,0.012700,0
2020-09-25,0.010550,0.010550,0.010550,0.010550,0.010550,1000
2020-09-28,0.010550,0.010550,0.010550,0.010550,0.010550,0
2020-09-29,0.010550,0.010550,0.010550,0.010550,0.010550,0
2020-09-30,0.008400,0.008400,0.008400,0.008400,0.008400,2500
2020-10-01,0.008400,0.009000,0.008400,0.009000,0.009000,40100
2020-10-02,0.008400,0.008400,0.008400,0.008400,0.008400,1064
2020-10-05,0.008400,0.008400,0.008400,0.008400,0.008400,100510
2020-10-06,0.007900,0.007950,0.007900,0.007950,0.007950,50000
2020-10-07,0.009500,0.009500,0.009500,0.009500,0.009500,10001
2020-10-08,0.009500,0.009500,0.009500,0.009500,0.009500,0
2020-10-09,0.009500,0.009500,0.009500,0.009500,0.009500,0
2020-10-12,0.010000,0.012000,0.010000,0.011240,0.011240,125500
2020-10-13,0.010000,0.012000,0.009500,0.011000,0.011000,185000
2020-10-14,0.012000,0.012000,0.012000,0.012000,0.012000,10000
2020-10-15,0.012000,0.012000,0.012000,0.012000,0.012000,0
2020-10-16,0.011000,0.011650,0.011000,0.011650,0.011650,9615
2020-10-19,0.012000,0.012300,0.012000,0.012300,0.012300,432981
2020-10-20,0.008650,0.008650,0.008650,0.008650,0.008650,1800
2020-10-21,0.008300,0.008300,0.008300,0.008300,0.008300,200
2020-10-22,0.009000,0.009000,0.009000,0.009000,0.009000,3000
2020-10-23,0.009000,0.009000,0.009000,0.009000,0.009000,0
2020-10-26,0.008300,0.009020,0.008200,0.009020,0.009020,30000
2020-10-27,0.009020,0.009020,0.009020,0.009020,0.009020,0
2020-10-28,0.010650,0.010650,0.008500,0.008500,0.008500,45350
2020-10-29,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-10-30,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-02,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-03,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-04,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-05,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-06,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-09,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-10,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-11,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-12,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-13,0.008500,0.008500,0.008500,0.008500,0.008500,1550
2020-11-16,0.008500,0.008500,0.008500,0.008500,0.008500,0
2020-11-17,0.008500,0.008500,0.008100,0.008100,0.008100,50000
2020-11-18,0.008100,0.008100,0.007800,0.007800,0.007800,5000
2020-11-19,0.007800,0.007800,0.007800,0.007800,0.007800,0
2020-11-20,0.007800,0.007800,0.007800,0.007800,0.007800,0
2020-11-23,0.007800,0.007800,0.007800,0.007800,0.007800,0
2020-11-24,0.007800,0.007800,0.007800,0.007800,0.007800,0
2020-11-25,0.007800,0.007800,0.007800,0.007800,0.007800,0
2020-11-27,0.008000,0.008000,0.008000,0.008000,0.008000,3000
2020-11-30,0.011950,0.012500,0.011950,0.012500,0.012500,87167
2020-12-01,0.009700,0.010200,0.009700,0.010200,0.010200,58000
2020-12-02,0.009000,0.009000,0.009000,0.009000,0.009000,4167
2020-12-03,0.008800,0.008800,0.008800,0.008800,0.008800,3600
2020-12-04,0.008800,0.008800,0.008800,0.008800,0.008800,1000
2020-12-07,0.008800,0.008800,0.008800,0.008800,0.008800,0
2020-12-08,0.008800,0.008800,0.008800,0.008800,0.008800,0
