Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.137000,2.190000,2.137000,2.158000,2.158000,6500
2020-01-03,2.183000,2.183000,2.060000,2.130000,2.130000,2200
2020-01-06,2.090000,2.090000,2.090000,2.090000,2.090000,100
2020-01-07,2.182000,2.430000,2.160000,2.360000,2.360000,27900
2020-01-08,2.270000,2.353000,2.187000,2.250000,2.250000,6700
2020-01-09,2.320000,2.685000,2.320000,2.650000,2.650000,17800
2020-01-10,2.670000,2.890000,2.358000,2.760000,2.760000,21500
2020-01-13,2.740000,2.820000,2.650000,2.729000,2.729000,9000
2020-01-14,2.650000,2.790000,2.650000,2.780000,2.780000,2000
2020-01-15,2.762000,2.800000,2.762000,2.800000,2.800000,8000
2020-01-16,2.765000,2.765000,2.765000,2.765000,2.765000,200
2020-01-17,2.773000,2.850000,2.773000,2.850000,2.850000,5100
2020-01-21,2.800000,2.850000,2.800000,2.810000,2.810000,18700
2020-01-22,2.860000,2.860000,2.860000,2.860000,2.860000,200
2020-01-23,2.900000,3.050000,2.900000,3.050000,3.050000,4900
2020-01-24,3.060000,3.400000,3.060000,3.152000,3.152000,86000
2020-01-27,3.290000,3.330000,3.039000,3.039000,3.039000,4900
2020-01-28,3.100000,3.263000,3.052000,3.186000,3.186000,14000
2020-01-29,3.200000,3.200000,3.040000,3.040000,3.040000,5900
2020-01-30,3.142000,3.145000,3.071000,3.111000,3.111000,4200
2020-01-31,2.990000,3.245000,2.972000,3.150000,3.150000,10400
2020-02-03,3.250000,3.260000,3.200000,3.200000,3.200000,9300
2020-02-04,3.201000,3.201000,2.973000,3.120000,3.120000,5200
2020-02-05,2.982000,3.300000,2.982000,3.300000,3.300000,8300
2020-02-06,3.020000,3.300000,3.010000,3.155000,3.155000,3700
2020-02-07,3.130000,3.400000,3.130000,3.300000,3.300000,4200
2020-02-10,3.300000,3.300000,3.300000,3.300000,3.300000,0
2020-02-11,3.324000,3.340000,3.300000,3.340000,3.340000,5500
