Carname,Model,Volume,Weight,CO2,Age,Speed
Toyota,Aygo,1000,790,99,12,103
Mitsubishi,Space Star,1200,1160,95,7,85
Skoda,Citigo,1000,929,95,18,107
Fiat,500,900,865,90,9,100
Mini,Cooper,1500,1140,105,6,85
VW,Up!,1000,929,105,6,106
Skoda,Fabia,1400,1109,90,10,88
Mercedes,A-Class,1500,1365,92,16,90
Ford,Fiesta,1500,1112,98,15,108
Audi,A1,1600,1150,99,4,93
Hyundai,I20,1100,980,99,10,87
Suzuki,Swift,1300,990,101,7,107
Ford,Fiesta,1000,1112,99,16,109
Honda,Civic,1600,1252,94,18,100
Hundai,I30,1600,1326,97,13,107
Opel,Astra,1600,1330,97,8,91
BMW,1,1600,1365,99,6,111
Mazda,3,2200,1280,104,3,100
Skoda,Rapid,1600,1119,104,1,89
Ford,Focus,2000,1328,105,18,103
Ford,Mondeo,1600,1584,94,5,107
Opel,Insignia,2000,1428,99,9,109
Mercedes,C-Class,2100,1365,99,5,84
Skoda,Octavia,1600,1415,99,12,91
Volvo,S60,2000,1415,99,8,88
Mercedes,CLA,1500,1465,102,9,103
Audi,A4,2000,1490,104,3,94
Audi,A6,2000,1725,114,19,104
Volvo,V70,1600,1523,109,1,109
BMW,5,2000,1705,114,4,92
Mercedes,E-Class,2100,1605,115,3,84
Volvo,XC70,2000,1746,117,15,96
Ford,B-Max,1600,1235,104,15,102
BMW,2,1600,1390,108,14,100
Opel,Zafira,1600,1405,109,15,95
Mercedes,SLK,2500,1395,120,10,111
